,02-Sep-2026
The Nifty witnessed an intraday movement of about 127.65 points.The closing index was 0.59 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 115184.52
, Traded Quantity (in Lakhs), 49579.15
, Number of Trades, 38764448
, Total Market Capitalisation (Rs. Crores), 48624627.50

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE,TRADED QUANTITY
,0SCL27,YW,      1233.60,                   123360.00,100
,1003SFIL28,NX,       446.41,                    21428.00,48
,1015ECL29,NR,      1018.25,                   376823.06,370
,1018GS2026,GS,       104.60,                     1677.20,16
,1025SCL34A,ZT,      1000.00,                     1000.00,1
,1025VCCL28,N0,     94000.00,                   286000.00,3
,1040UCL27B,N1,      1006.11,                    12069.82,12
,1050UCL28,NH,      1010.05,                   273404.20,270
,1060ECL29,NS,      1088.50,                    87057.00,82
,1065NFL27,NC,      1011.00,                   303235.00,300
,1075SCL33A,N2,       906.67,                    45333.50,50
,1075WCA28,N0,      9627.20,                   381641.50,40
,10CAGL27,N5,      1015.21,                   117767.00,116
,10IIFL28,N4,      1003.00,                   617182.50,619
,10IIFL28A,NE,      1041.00,                   478410.00,460
,10ISFL26,N3,      1062.00,                   313290.00,295
,10MWL29,N0,     99500.00,                    99500.00,1
,1119NFL27,ND,      1050.00,                    94353.00,90
,113ESFB31,N0,    100000.00,                   100000.00,1
,1150AFIL29,N0,      9909.20,                    49593.20,5
,125VCCL31,N0,     97511.00,                   580070.00,6
,12AFIL27,N0,      9980.84,                    30042.84,3
,12AFIL28,N0,      9974.00,                    29922.00,3
,20MICRONS,EQ,       211.36,                 19117720.14,90223
,21STCENMGM,EQ,        38.85,                   226747.72,5812
,360ONE,EQ,      1181.30,                765774597.80,666823
,364D031226,TB,        98.00,                  1479856.00,15100
,364D060527,TB,        95.60,                  6405200.00,67000
,364D170926,TB,        99.21,                   694495.00,7000
,3BBLACKBIO,EQ,      1478.60,                 78639719.10,50928
,3IINFOLTD,BE,        22.43,                  2931814.46,131772
,3MINDIA,EQ,     32895.00,                 61177925.00,1858
,3PLAND,EQ,        32.75,                    29027.23,911
,574GS2026,GS,       101.05,                      101.05,1
,591GS2028,GS,        99.78,                   374901.60,3760
,5PAISA,EQ,       336.55,                  9156686.85,26993
,601GS2030,GS,        99.00,                     9900.00,100
,603GS2029,GS,        98.50,                   493575.00,5000
,610GS2031,GS,        99.00,                   297898.89,3003
,620GS2029,GS,        99.98,                   105332.34,1056
,628GS2032,GS,        99.50,                   930225.50,9349
,636GS2031,GS,       100.00,                      100.00,1
,63MOONS,EQ,       805.10,                354647129.35,444235
,645GS2029,GS,       103.20,                      103.20,1
,667GS2050,GS,        92.25,                   491871.90,5339
,668GS2040,GS,        97.93,                    43330.66,442
,676GS2061,GS,        90.79,                 11401658.34,125937
,690GS2065,GS,        93.48,                  9518772.95,101928
,692GS2039,GS,        99.00,                    10890.00,110
,694GS2036,GS,       102.40,                   133067.00,1300
,695GS2061,GS,        93.00,                   639793.57,6901
,698GR2054,GS,        93.10,                     9310.00,100
,702GS2027,GS,       103.00,                   207030.00,2010
,706GS2028,GS,       104.20,                   473521.38,4560
,706GS2041,GS,        99.25,                   680348.60,6775
,709GS2054,GS,        95.65,                  1068908.00,11163
,709GS2074,GS,        95.50,                   886724.58,9285
,710GS2029,GS,       104.30,                  2622498.42,25148
,716GS2050,GS,       102.00,                    45900.00,450
,718GS2037,GS,       102.27,                  7814393.80,76402
,720PFCL36,N6,      1000.58,                    73042.34,73
,723GJ27,SG,       101.60,                   274320.00,2700
,724GS2055,GS,        97.15,                 13974185.80,144021
,724UP36,SG,        95.00,                    95000.00,1000
,725GS2063,GS,        96.81,                 47083794.88,486161
,726GS2032,GS,       103.00,                   452192.00,4400
,726GS2033,GS,       102.55,                  2338995.00,22850
,732GS2030,GS,       102.57,                    67386.50,650
,733GS2026,GS,       102.25,                   224293.00,2200
,734GS2064,GS,        98.83,                 16442149.08,166235
,734IRFC28,N4,      1088.00,                   151232.00,139
,735NABAR31,N1,      1110.00,                  1168869.15,1036
,736RJ37,SG,        93.10,                     9310.00,100
,737GS2028,GS,       106.58,                  1341684.72,12814
,738GS2027,GS,       102.63,                 17243431.38,168119
,739NHAI31A,ND,      1146.05,                    24067.05,21
,73GS2053,GS,        98.83,                  2063009.83,20989
,741GS2036,GS,       104.40,                  3925866.77,37549
,743GS2076,GS,        99.82,                  1638116.69,16473
,743REC35,NH,      1215.00,                  1206966.00,1000
