MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,ST,MADHUSUDAN,MADHUSUDAN MASALA LIMITED,       225.05,       225.00,       233.00,       225.00,       231.00,                  5040150.00,22000, ,       260.00,       108.60
N,SM,MAHICKRA,MAHICKRA CHEMICAL LIMITED,       286.40,       275.00,       295.00,       275.00,       291.50,                  6895762.50,24750, ,       308.80,       131.00
N,SM,MAITREYA,MAITREYA MEDICARE LIMITED,       120.50,       114.70,       127.45,       114.70,       123.90,                   532880.00,4400, ,       292.95,       107.50
N,SM,MAKS,MAKS ENERGY SOL INDIA LTD,        13.10,        13.10,        13.75,        13.10,        13.75,                   101025.00,7500, ,        36.00,        12.65
N,ST,MPEL,MANAS POLYMER N ENERGIE L,        24.70,        25.85,        25.90,        23.50,        24.85,                   652080.00,25600, ,       153.90,        23.50
N,SM,MANAV,MANAV INFRA PROJECTS LTD,        36.10,        37.90,        37.90,        37.90,        37.90,                   303200.00,8000, ,        47.00,        14.50
N,SM,MAL,MANGALAM ALLOYS LIMITED,        32.00,        30.05,        32.00,        30.00,        31.60,                   752720.00,24000, ,        63.25,        28.95
N,SM,MIEL,MANGLAM INFRA & ENG LTD,        12.25,        11.70,        12.40,        11.70,        12.40,                    48200.00,4000, ,        31.50,        10.70
N,SM,MARCO,MARCO CABLE & CONDUCTOR L,        36.80,        36.95,        36.95,        32.00,        33.70,                   906150.00,27000, ,        46.50,        26.60
N,SM,MASTER,MASTER COMPONENTS LIMITED,       435.00,       430.65,       430.65,       430.65,       430.65,                   215325.00,500, ,       502.00,       282.50
N,SM,MGSL,MATRIX GEO SOLUTIONS LTD,        73.00,        72.05,        81.30,        70.00,        77.55,                  3006420.00,39600, ,       120.00,        57.20
N,SM,MAXPOSURE,MAXPOSURE LIMITED,        29.15,        29.00,        29.00,        29.00,        29.00,                    58000.00,2000, ,        62.50,        29.00
N,SM,MAXVOLT,MAXVOLT ENERGY INDUS L,       341.60,       335.05,       341.80,       331.10,       333.25,                 15323680.00,45600, ,       509.00,       213.00
N,SM,MAYASHEEL,MAYASHEEL VENTURES LTD,        37.90,        37.90,        37.90,        37.90,        37.90,                   113700.00,3000, ,        85.00,        35.00
N,SM,MCON,MCON RASAYAN INDIA LTD,        44.00,        42.35,        42.55,        42.35,        42.50,                   169750.00,4000, ,        94.00,        37.30
N,SM,MEDIORG,MEDICAMEN ORGANICS LTD,        25.65,        25.65,        26.75,        25.65,        25.65,                   414700.00,16000, ,        38.00,        19.10
N,SM,MEDISTEP,MEDISTEP HEALTHCARE LTD,        21.00,        21.00,        21.95,        20.15,        21.95,                   384000.00,18000, ,        38.00,        16.50
N,SM,MEGATHERM,MEGATHERM INDUCTION LTD,       216.35,       212.05,       212.20,       207.00,       209.55,                  2944800.00,14000, ,       316.95,       170.00
N,ST,METALIC,METALIC TECHNOFORGE LTD,       139.25,       139.90,       139.90,       132.30,       132.30,                 12630800.00,94400, ,       161.95,        81.40
N,SM,MICROPRO,MICROPRO SOFTWARE SOL L,        18.65,        18.55,        18.55,        18.55,        18.55,                    29680.00,1600, ,        28.50,        15.15
N,SM,MHHL,MOHINI HEALTH&HYGIENE LTD,        31.30,        31.40,        31.40,        31.40,        31.40,                    47100.00,1500, ,        55.00,        29.20
N,SM,MONOPHARMA,MONO PHARMACARE LIMITED,         8.55,         8.95,         8.95,         8.95,         8.95,                    17900.00,2000, ,        25.50,         7.50
N,SM,MONOLITH,MONOLITHISCH INDIA LTD,      1142.70,      1120.30,      1278.00,      1120.30,      1256.70,                 72467375.00,60000, ,      1278.00,       367.00
N,ST,MOS,MOS UTILITY LIMITED,         8.70,         8.30,         8.30,         8.30,         8.30,                  2390400.00,288000, ,        55.55,         8.30
N,SM,MMEL,MOVING MEDIA ENTER LTD,        24.40,        24.70,        24.75,        23.10,        23.10,                   391400.00,16000, ,        73.25,        20.00
N,SM,MOXSH,MOXSH OVERSEAS EDUCON LTD,       109.00,       112.00,       112.00,       103.60,       103.60,                   344960.00,3200, ,       140.00,        33.50
N,SM,MUNISH,MUNISH FORGE LIMITED,        82.25,        84.95,        86.00,        83.15,        83.15,                  5866320.00,69600, ,       143.00,        50.20
N,SM,NRVANDANA,N R VANDANA TEX IND LTD,        68.95,        68.80,        70.00,        68.80,        70.00,                  3738150.00,54000, ,        82.90,        41.00
N,SM,NAMAN,NAMAN INDUSTRE PRXIMA LTD,        41.55,        41.50,        41.50,        40.00,        40.00,                    65200.00,1600, ,        99.90,        37.00
N,ST,NAMOEWASTE,NAMO EWASTE MANAGEMENT L,       266.95,       261.00,       266.40,       261.00,       264.00,                  3784680.00,14400, ,       319.40,       134.00
N,SM,NEELAM,NEELAM LINENS & GAR (I) L,         7.00,         6.80,         6.80,         6.65,         6.65,                   642300.00,96000, ,        22.00,         6.65
N,SM,NEPHROCARE,NEPHRO CARE INDIA LIMITED,       100.70,       100.00,       100.00,        85.35,        97.00,                  5052520.00,54000, ,       173.95,        50.05
N,SM,NEPTUNE,NEPTUNE PETROCHEMICALS L,       177.00,       178.55,       178.55,       178.50,       178.50,                   178525.00,1000, ,       246.90,       137.00
N,ST,CBAZAAR,NET AVENUE TECHNOLOGIES L,         4.70,         4.50,         4.50,         4.50,         4.50,                    72000.00,16000, ,         6.55,         3.05
