MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,CENTURY PLYBOARDS (I) LTD,       755.45,       754.95,       757.35,       745.10,       748.45,                 19139521.70,25519,N, ,6607,       859.00,       618.50
N,CERA SANITARYWARE LTD,      5717.50,      5700.00,      5712.00,      5641.00,      5662.50,                 11840478.00,2090,N, ,829,      6740.00,      4461.10
N,CESC LTD,       145.15,       144.52,       147.94,       143.55,       146.44,                179679514.12,1227110,N, ,19962,       204.50,       138.12
N,CONCORD ENVIRO SYSTEMS L,       262.70,       262.00,       267.10,       256.70,       263.30,                 11659005.35,44650,N, ,2217,       555.80,       235.00
N,CONFIDENCE FUTURIST ENE L,        30.88,        31.90,        32.75,        31.00,        31.80,                   574124.04,18100,N, ,104,        35.20,        24.36
N,CAPRI GLOBAL CAPITAL LTD,       250.90,       250.85,       259.00,       249.00,       256.60,                948727407.20,3713359,N, ,34271,       264.53,       151.10
N,CREATIVE GRAPHICS S IND L,       146.80,       145.95,       149.00,       145.55,       147.30,                  3521960.00,24000,N, ,25,       259.00,       122.00
N,C G V A K SOFTWARE & EX L,       152.99,       150.01,       152.98,       148.00,       148.93,                   199881.82,1333,N, ,25,       163.70,       127.00
N,CHALET HOTELS LIMITED,       897.50,       897.55,       904.70,       884.50,       897.95,                 62974524.35,70205,N, ,6213,      1070.10,       691.35
N,CHAMBAL FERTILIZERS LTD,       412.30,       412.40,       414.65,       407.25,       411.45,                303398552.05,739003,N, ,21421,       580.70,       399.75
N,CHANDAN HEALTHCARE LTD,       220.15,       217.30,       217.30,       209.05,       211.40,                 10890320.00,51200,N, ,60,       358.00,       185.40
N,CHAVDA INFRA LIMITED,       126.75,       122.60,       125.15,       120.85,       123.90,                  3688550.00,30000,N, ,30,       148.00,        80.60
N,CHEMBOND MATERIALTECH LTD,       168.99,       174.44,       174.44,       165.61,       167.67,                   654143.25,3886,N, ,147,       209.99,       105.15
N,CHEMCRUX ENTERPRISES LTD.,        83.24,        83.24,        83.85,        80.24,        81.52,                   288982.25,3519,N, ,142,        89.29,        80.00
N,CHEMFAB ALKALIS LIMITED,       362.80,       366.00,       366.00,       351.80,       355.25,                  1045641.55,2940,N,XD,138,       703.00,       290.35
N,CHEMPLAST SANMAR LIMITED,       170.35,       171.13,       172.38,       167.61,       169.83,                 21801102.16,128382,N, ,3938,       451.30,       167.55
N,CHENNAI PETROLEUM CORP LT,      1387.00,      1396.60,      1423.50,      1382.50,      1414.00,               2352088722.10,1672746,N, ,57977,      1489.70,       642.00
N,CHETANA EDUCATION LIMITED,        43.85,        41.05,        43.95,        41.05,        43.90,                   893440.00,20800,N, ,13,        82.00,        30.10
N,CHEVIOT COMPANY LIMITED,      1124.60,      1112.10,      1159.00,      1101.00,      1150.60,                  1758639.60,1549,N, ,253,      1370.50,       898.00
N,CHOICE INTERNATIONAL LTD,       774.70,       773.00,       774.75,       760.00,       763.40,                155248120.10,203010,N, ,6029,       860.50,       568.70
N,CHOLAMANDALAM FIN HOL LTD,      1475.00,      1470.00,      1501.00,      1437.00,      1489.00,                210993615.40,143781,N, ,15603,      2064.00,      1305.00
N,CIE AUTOMOTIVE INDIA LTD,       390.85,       392.00,       392.00,       383.85,       385.00,                 73930745.15,191339,N, ,11935,       526.00,       382.60
